DATE,CXUHEALTHLB0406M
1984-01-01,1255
1985-01-01,1355
1986-01-01,1429
1987-01-01,1383
1988-01-01,1518
1989-01-01,1814
1990-01-01,1791
1991-01-01,1846
1992-01-01,1993
1993-01-01,2176
1994-01-01,2144
1995-01-01,1911
1996-01-01,2163
1997-01-01,2187
1998-01-01,2158
1999-01-01,2450
2000-01-01,2508
2001-01-01,2703
2002-01-01,3007
2003-01-01,3059
2004-01-01,3262
2005-01-01,3410
2006-01-01,3556
2007-01-01,3476
2008-01-01,3825
2009-01-01,3895
2010-01-01,3859
2011-01-01,4048
2012-01-01,4377
2013-01-01,4378
2014-01-01,4958
2015-01-01,5112
2016-01-01,5513
2017-01-01,5777
2018-01-01,5743
2019-01-01,5958
2020-01-01,5684
