DATE,CXUINCAFTAXLB0405M
1984-01-01,27589
1985-01-01,30354
1986-01-01,30055
1987-01-01,33064
1988-01-01,35999
1989-01-01,37849
1990-01-01,39381
1991-01-01,43828
1992-01-01,41659
1993-01-01,43970
1994-01-01,44024
1995-01-01,47121
1996-01-01,46994
1997-01-01,50397
1998-01-01,53257
1999-01-01,54459
2000-01-01,54149
2001-01-01,56499
2002-01-01,60923
2003-01-01,64080
2004-01-01,66761
2005-01-01,71442
2006-01-01,73683
2007-01-01,77075
2008-01-01,78537
2009-01-01,77460
2010-01-01,76266
2011-01-01,75234
2012-01-01,78859
2013-01-01,68048
2014-01-01,74344
2015-01-01,79845
2016-01-01,83084
2017-01-01,83939
2018-01-01,90152
2019-01-01,91384
2020-01-01,100209
