Table Name:,2008 VBT Male RR160 (UCS130) Non-Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1056,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table”, American Academy of Actuaries /Society of Actuaries, Joint Preferred Mortality Project Oversight Group (paper presented at the March 2008 meeting of the National Association of Insurance Commissioners’ Life and Health Actuarial Task Force, Orlando, Florida, March, 2008) p. 107-108. Accessed: October, 2012 from http://www.actuary.org/pdf/life/tables_march08.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 160% (UCS130), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 160% (UCS130), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90. Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00081,0.00088,0.00098,0.00107,0.00113,0.00114,0.0011,0.00107,0.00103,0.001,0.001,0.00103,0.00104,0.00107,0.0011,0.00114,0.0012,0.00128,0.00135,0.00145,0.00155,0.00169,0.00182,0.00198,0.00217
19,0.00085,0.00092,0.00101,0.00107,0.00108,0.00107,0.00102,0.00098,0.00095,0.00095,0.00097,0.00101,0.00104,0.00108,0.00113,0.00119,0.00126,0.00134,0.00143,0.00151,0.00165,0.00178,0.00193,0.00211,0.00232
20,0.00089,0.00095,0.00099,0.00102,0.00102,0.00098,0.00093,0.0009,0.0009,0.00093,0.00095,0.00101,0.00105,0.00111,0.00117,0.00123,0.00131,0.0014,0.00149,0.00159,0.00173,0.00188,0.00205,0.00226,0.0025
21,0.0009,0.00093,0.00094,0.00094,0.00093,0.0009,0.00085,0.00085,0.00087,0.00091,0.00094,0.001,0.00108,0.00114,0.00122,0.00129,0.00137,0.00146,0.00157,0.00167,0.00181,0.00198,0.00218,0.0024,0.00265
22,0.00088,0.00086,0.00086,0.00086,0.00085,0.00082,0.0008,0.00082,0.00085,0.00089,0.00092,0.00102,0.00111,0.00119,0.00126,0.00134,0.00143,0.00152,0.00163,0.00175,0.00191,0.00211,0.00232,0.00256,0.00283
23,0.00082,0.00078,0.00078,0.00078,0.00076,0.00076,0.00076,0.00078,0.00082,0.00084,0.00093,0.00104,0.00114,0.00123,0.00132,0.0014,0.00149,0.0016,0.00171,0.00185,0.00202,0.00223,0.00244,0.0027,0.00301
24,0.00074,0.00069,0.00069,0.00069,0.00071,0.00072,0.00074,0.00075,0.00079,0.00085,0.00096,0.00107,0.00118,0.00127,0.00137,0.00146,0.00156,0.00167,0.00179,0.00193,0.00214,0.00233,0.00257,0.00287,0.0032
25,0.00065,0.0006,0.0006,0.00064,0.00067,0.00068,0.0007,0.00071,0.00076,0.00087,0.00098,0.00111,0.00122,0.00133,0.00143,0.00152,0.00162,0.00175,0.00187,0.00203,0.00222,0.00246,0.00272,0.00305,0.00343
