Table Name:,2008 VBT Male Limited Underwriting NS ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1064,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table (VBT) Report and Tables – Appendix G – Limited Underwriting Tables”, Society of Actuaries. Accessed: October, 2012 from www.soa.org/Files/Zip/research-2008-vbt-report-app-g.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Limited Underwriting Table - Male, Nonsmoker, Age Nearest Birthday",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. The underlying select experience for older issue ages, juveniles and smoker risks was limited hence several data sources, graduation techniques and other adjustments to augment the data were utilized to develop the final tables. The underlying data also becomes sparse and less reliable for ages in the mid-to-late 80s and beyond. Therefore, population mortality from several sources was used to reflect the mortality at the latest attained ages. Research from the SOA’s “2005 Living to 100 and Beyond” seminar, as well as research and study on longevity issues and super-centenarian mortality was incorporated. Methodology: Two aggregate tables, the Primary Table and the Limited Underwriting Table, representing different levels of underwriting and different market segments, were developed. Ultimate mortality rates were first developed and then the aggregate select-and-ultimate tables for male and female, non-smoker and smoker risks were developed, representing different levels of underwriting and different market segments. The ILEC felt it was important to maintain two distinct aggregate tables as the underlying experience varied significantly by size and market segment. The variations reflect differences in underwriting at various issue ages and amounts and differences in the marketing approach and distribution at lower amounts. These differences held across gender and smoking status. As testing for smoking or tobacco usage did not become common until the early 1980s, the analysis was performed on a smoker versus non-smoker distinct basis for the first 24 durations only; for durations 26 and later, the analysis was on a uni-smoke basis. Duration 25 values were determined using Whittaker-Henderson graduation between the duration 24 and duration 26 values. In situations where the data was very limited or sparse, a Projection Pursuit Regression graduation method was used in conjunction with Whittaker-Henderson. For durations 1 through 25, the expected basis is the 2001 VBT Sex Distinct, Smoker Distinct Tables; for durations 26 and later, the expected basis is the composite 2001 VBT. In a change from prior experience tables that have all ended with a mortality rate equal to 1.000, the VBT tables have an omega mortality rate of 0.45 beginning at attained age 110. The Limited Underwriting tables blend into the Primary tables by age 90. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Limited Underwriting Table - Male, Nonsmoker, Age Nearest Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00062,0.00038,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102
1,0.00038,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098
