Table Name:,"American Men Table with Bowerman’s Extension, ANB",,,,
Table Identity:,301,,,,
Provider Domain:,soa.org,,,,
Provider Name:,Stephen J. Strommen,,,,
Table Reference:,"The Actuarial Society of America with the Cooperation of the American Institute of Actuaries, “American-Canadian Mortality Investigation Based on the Experience of Life Insurance Companies of the United States and Canada During the Years 1900 to 1915 Inclusive: on Policies Issued from 1843 to 1914 Inclusive, Volume I”, Actuarial Society of America, (1918) p. 182-183. Reprinted with Bowerman’s Extension by Nelson and Warren, Inc, “Principal Mortality Tables, Old and New”, (St. Louis, MO, 1957) p. 4-5",,,,
Content Type:,Insured Lives Mortality,,,,
Table Description:,American Men Table with Bowerman’s Extension to Age 0 for Ultimate Rates. Basis: Age Nearest Birthday. Minimum Select Age: 15. Maximum Select Age: 65. Minimum Ultimate Age: 0. Maximum Ultimate Age: 103,,,,
EffDate:,,,,,
Comments:,"Study Data: Prepared by The Committee on Rates of Mortality and Interest at the request of National Convention of Insurance Commissioners. Two tables were compiled: The American Men Table and The Canadian Men Table (See SOA Table Identity 457).  Although experience of American women and Canadian women was investigated, tables were not produced. The committee relied on the legal reserve life insurance experience of 59 companies in the United States and Canada between 1900 and 1915 policy anniversaries from contracts issued from 1843 to 1914, inclusive. In order that due weight should be given to the smaller companies, a rule was adopted: companies with $50,000,000 or less of insurance in force submit their entire data while companies with more than that were to give data based on $50,000,000. To obtain sufficient data at the older ages, companies contributed their entire data on policies other than deferred dividend. Industrial policies were excluded entirely. As mortality table in current use assumed the last death occurs at age 96, a number of companies paid the face amount as an endowment at that age. Thus, in order to have material at ages above 96, companies were asked to obtain a history of the policyholder. Care was taken to account for separate policies issued on the same person. Methodology: Mortality for the first five years was recorded separately while mortality for the sixth and subsequent years was combined and used as the basis for the ultimate section of the table. Thus the ultimate table does not reflect the light mortality experience usually seen due to medical selection and underwriting. After the submitted cards were separated by residency, they were sorted by sex and plan of insurance. Contracts written on a ten-year non-renewable basis and on a ten-year renewable term plan were eliminate. A Tabulator-Printer machine was employed to detect errors in sorting. An “exposed to risk” value was calculated by a simple formula for each of the years 1900-1914, inclusive. The rate of mortality, q(x + n - 1), was then calculated as the death claims, d(x + n), divided by the exposed at risk, E(x + n – 1). After crude rates were calculated, a variety of graduation techniques (Spencer, Makeham, Gompertz, Larus, Hardy, King’s osculatory and graphic) were employed in an effort to smooth the data. Ultimately Makeham’s second modification of Gompertz law was adopted with modification. One formula was used for ages 15-20, another for 20-30 inclusive and a third for ages over 30. The same general three-part formula was used in the graduation of experience over the first five years. The original table was only for ages 15 and over. Subsequently a number of extensions were done to age zero (Draper, Hooker, Bowerman, Davis). The version adopted in this table is by Bowerman. NOTE: An earlier generation of this table only included the ultimate rates (with Bowerman’s extension). The full select table is now also available. The ultimate portion of the table is commonly referred to as AM^(5).  Data Transcription Errors: None. Data Certified: 03/2013",,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,

