Table Name:,"Miller's Ordinary Select '30-'39 Mortality Table, ANB",,
Table Identity:,350,,
Provider Domain:,soa.org,,
Provider Name:,Roger Scott Lumsden,,
Table Reference:,"John H. Miller, “A Method of Analyzing Select Mortality Experience”, Transactions of the Society of Actuaries, Vol. XLIII (1942) Table IX",,
Content Type:,Insured Lives Mortality,,
Table Description:,Miller's Ordinary Select 1930-1939 Mortality Table. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 65. Minimum Ultimate Age: 3. Maximum Ultimate Age: 100,,
EffDate:,,,
Comments:,"Study Data: Miller’s Table is an attempt to develop select mortality rates consistent with the 1941 Commissioners Standard Ordinary (CSO) Table (See SOA Table Identity 1). Underlying the 1941 CSO Table, for ages up to 50, the basic rates were derived from the experience on issues of 1925 to 1934, inclusive, published by the Joint Committee on Mortality. For the higher ages, data were obtained from nine companies, most of whom submitted experience on all issues, including those prior to 1925 in order to have available as much data as possible for the analysis of the effects of  selection. Methodology: Because of the lack of homogeneity between the several years of issue, graduated select rates could not properly be developed directly from mortality rates adjusted for secular trends. Coefficients of selection were employed where the factors being determined from the original data, adjusted to eliminate trend, by the following formula: CS ([x] + n) = 1 – q([x] + n) / q([n-5] + n + 5). The five year interval does not imply an a priori assumption of a five year select period, but was adopted because the data had been developed for quinquennial ages. The average first year coefficients for ages 27 and over were graduated by fitting a straight line by the method of least squares. For the younger ages a second order curve was passed through 0 at age 7 and the observed values at ages 17 and 27. In order to avoid distortion at age 32 due to an obviously accidental fluctuation, the second and third year coefficients were computed as 54% and 19.4%, respectively, of the first year coefficients. In order to make the table complete, a value for q(0) was inserted. This was done by reference to the extensions of the American Men table by Davis, Hooker and Bowerman (See SOA Table Identity 301). Since the select rates are functions of the ultimate rates, it was considered desirable to use ultimate rates as smooth as possible. Accordingly, the 1930-40 basic rates were smoothed by application of the Henderson-Whittaker Formula A at ages 15 and over and by inspection at the lower ages. Data Transcription Errors: None. Data Certified: 05/2013",,
Keywords:,"Select,Insured Lives Mortality,United States of America",,

Table # ,1,,
Table Description:,Miller's Ordinary Select 1930-1939 Mortality Table. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 65.,,
Nation:,United States of America,,
Scaling Factor:,0,,
Data Type:,Floating Point,,
"Row, Column (if applicable)->id:",Age,Duration,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,
"Row, Column (if applicable)->AxisName:",Age,Duration,
"Row, Column (if applicable)->MinScaleValue:",0,1,
"Row, Column (if applicable)->MaxScaleValue:",65,3,
"Row, Column (if applicable)->Increment:",1,1,

Row\Column,1,2,3
0,0.02004,0.00501,0.00337
1,0.00501,0.00337,0.00260
2,0.00337,0.00260,0.00226
3,0.00260,0.00226,0.00202
4,0.00226,0.00202,0.00181
5,0.00202,0.00181,0.00161
6,0.00181,0.00161,0.00142
7,0.00161,0.00142,0.00125
8,0.00139,0.00124,0.00112
9,0.00120,0.00110,0.00104
10,0.00106,0.00102,0.00103
11,0.00097,0.00100,0.00108
12,0.00094,0.00104,0.00117
13,0.00097,0.00112,0.00126
14,0.00104,0.00120,0.00134
15,0.00110,0.00127,0.00142
16,0.00115,0.00133,0.00149
17,0.00120,0.00139,0.00156
18,0.00124,0.00145,0.00164
19,0.00128,0.00151,0.00171
20,0.00132,0.00156,0.00177
21,0.00135,0.00161,0.00182
22,0.00137,0.00164,0.00186
23,0.00139,0.00167,0.00190
24,0.00140,0.00169,0.00193
25,0.00140,0.00171,0.00196
26,0.00140,0.00173,0.00199
27,0.00141,0.00175,0.00203
28,0.00143,0.00179,0.00208
29,0.00146,0.00183,0.00215
30,0.00149,0.00189,0.00224
31,0.00154,0.00196,0.00234
32,0.00160,0.00205,0.00246
33,0.00167,0.00216,0.00261
34,0.00175,0.00229,0.00279
35,0.00185,0.00244,0.00299
