Table Name:,"1990-95 Basic Table - Female, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,369,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Roger S. Lumsden,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Individual Life Experience Studies Committee, “The 1990-95 Basic Select and Ultimate Mortality Tables for Individual Life Insurance”, Society of Actuaries (2000). Accessed: June, 2013 from http://www.societyofactuaries.org/files/zip/basic_select.zip",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1990-95 Basic Table – Female. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 124.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: Intercompany experience between 1990 and 1995 policy anniversaries for medical, nonmedical, and paramedical issues combined. For males, exposures constituted $4.1 trillion with claims amounting to $11.6 billion (See SOA Table 371). For females the corresponding figures are $1.62 trillion and $2.37 billion respectively. Methodology: Graduated rates in the 1985-90 Basic Tables were used to combine the age last and age nearest submissions to maximize the use of the crude data. Crude select mortality rates graduated with a Whittaker-Henderson type A algorithm. For the males the smoothing constant in the graduation formula used was 0.5, 1.0, 2.0 and 3.0 for the issue age groups 0-14, 15-59, 60-64 and 65-74 respectively.  The emphasis on smoothness increases with the increase in issue age due to scarcity of credible data.  The ultimate graduated mortality rates for the 15-year data were similarly created from the crude rates using the Whitaker Henderson type A algorithm with the smoothing constant of 2.0.  The graduation process for the females followed similarly and used a smoothing constant of 3.0 across all age groups for both the select and ultimate rate calculations.  The relative amount of data necessitated the use of a large smoothing coefficient across all ages. NOTE: Mortality rates for issue ages 73 through 99 for the durations 1 to 25 were appended to complete the select portions of the tables for both the males and the females. As the rates are based solely on extrapolation and not on experience, the Committee recommended that caution be exercised in using the rates as there are many different ways to extrapolate from issue ages 73 to 99;  the extrapolated rates were not tested for goodness of fit. Data Transcription Errors Detected: 06/2013. Data Corrected and Certified: 06/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1990-95 Basic Table – Female. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00050,0.00034,0.00023,0.00016,0.00012,0.00011,0.00013,0.00015,0.00015,0.00016,0.00016,0.00017,0.00021,0.00024,0.00027,0.00028,0.00032,0.00033,0.00034,0.00036,0.00038,0.00039,0.00039,0.00040,0.00041
1,0.00026,0.00021,0.00014,0.00011,0.00010,0.00013,0.00014,0.00015,0.00015,0.00016,0.00017,0.00019,0.00021,0.00025,0.00028,0.00032,0.00033,0.00034,0.00036,0.00038,0.00039,0.00039,0.00040,0.00041,0.00041
2,0.00019,0.00013,0.00010,0.00010,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00018,0.00020,0.00024,0.00028,0.00032,0.00033,0.00034,0.00036,0.00038,0.00039,0.00039,0.00040,0.00041,0.00041,0.00042
3,0.00011,0.00010,0.00009,0.00012,0.00013,0.00014,0.00015,0.00016,0.00016,0.00017,0.00019,0.00024,0.00028,0.00032,0.00033,0.00034,0.00036,0.00038,0.00039,0.00039,0.00040,0.00041,0.00041,0.00042,0.00044
4,0.00009,0.00009,0.00011,0.00013,0.00014,0.00014,0.00015,0.00016,0.00017,0.00019,0.00024,0.00028,0.00032,0.00033,0.00034,0.00036,0.00038,0.00039,0.00039,0.00040,0.00041,0.00041,0.00042,0.00044,0.00047
