Table Name:,"1990-95 Basic Table - Male, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,371,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Roger S. Lumsden,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Individual Life Experience Studies Committee, “The 1990-95 Basic Select and Ultimate Mortality Tables for Individual Life Insurance”, Society of Actuaries (2000). Accessed: June, 2013 from http://www.societyofactuaries.org/files/zip/basic_select.zip",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1990-95 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 124.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: Intercompany experience between 1990 and 1995 policy anniversaries for medical, nonmedical, and paramedical issues combined. For males, exposures constituted $4.1 trillion with claims amounting to $11.6 billion. For females the corresponding figures are $1.62 trillion and $2.37 billion respectively (See SOA Table 369). Methodology: Graduated rates in the 1985-90 Basic Tables were used to combine the age last and age nearest submissions to maximize the use of the crude data. Crude select mortality rates graduated with a Whittaker-Henderson type A algorithm. For the males the smoothing constant in the graduation formula used was 0.5, 1.0, 2.0 and 3.0 for the issue age groups 0-14, 15-59, 60-64 and 65-74 respectively.  The emphasis on smoothness increases with the increase in issue age due to scarcity of credible data.  The ultimate graduated mortality rates for the 15-year data were similarly created from the crude rates using the Whitaker Henderson type A algorithm with the smoothing constant of 2.0.  The graduation process for the females followed similarly and used a smoothing constant of 3.0 across all age groups for both the select and ultimate rate calculations.  The relative amount of data necessitated the use of a large smoothing coefficient across all ages. NOTE: Mortality rates for issue ages 73 through 99 for the durations 1 to 25 were appended to complete the select portions of the tables for both the males and the females. As the rates are based solely on extrapolation and not on experience, the Committee recommended that caution be exercised in using the rates as there are many different ways to extrapolate from issue ages 73 to 99;  the extrapolated rates were not tested for goodness of fit. Data Transcription Errors: None. Data Certified: 06/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1990-95 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 0 Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00090,0.00049,0.00032,0.00022,0.00014,0.00014,0.00015,0.00015,0.00016,0.00016,0.00016,0.00020,0.00026,0.00031,0.00039,0.00047,0.00072,0.00080,0.00086,0.00088,0.00089,0.00089,0.00090,0.00091,0.00093
1,0.00040,0.00029,0.00019,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00014,0.00018,0.00022,0.00028,0.00033,0.00046,0.00069,0.00077,0.00084,0.00086,0.00088,0.00088,0.00089,0.00091,0.00092,0.00095
2,0.00028,0.00019,0.00014,0.00014,0.00014,0.00014,0.00015,0.00014,0.00013,0.00016,0.00019,0.00025,0.00029,0.00040,0.00067,0.00076,0.00084,0.00086,0.00087,0.00088,0.00089,0.00091,0.00092,0.00095,0.00100
3,0.00017,0.00013,0.00013,0.00013,0.00014,0.00014,0.00013,0.00012,0.00015,0.00018,0.00024,0.00028,0.00039,0.00066,0.00076,0.00084,0.00085,0.00087,0.00087,0.00089,0.00090,0.00092,0.00095,0.00100,0.00107
4,0.00013,0.00013,0.00013,0.00014,0.00013,0.00013,0.00012,0.00014,0.00018,0.00023,0.00028,0.00039,0.00064,0.00075,0.00083,0.00085,0.00087,0.00087,0.00089,0.00090,0.00091,0.00095,0.00100,0.00107,0.00118
5,0.00013,0.00013,0.00013,0.00013,0.00012,0.00012,0.00014,0.00017,0.00022,0.00027,0.00039,0.00064,0.00075,0.00083,0.00085,0.00087,0.00087,0.00088,0.00090,0.00091,0.00095,0.00100,0.00107,0.00118,0.00135
6,0.00013,0.00013,0.00013,0.00012,0.00012,0.00014,0.00017,0.00022,0.00026,0.00038,0.00064,0.00075,0.00083,0.00085,0.00087,0.00086,0.00088,0.00089,0.00091,0.00095,0.00100,0.00107,0.00118,0.00135,0.00142
7,0.00013,0.00012,0.00012,0.00012,0.00013,0.00017,0.00021,0.00026,0.00037,0.00064,0.00074,0.00083,0.00084,0.00086,0.00086,0.00088,0.00089,0.00090,0.00095,0.00100,0.00107,0.00118,0.00135,0.00142,0.00151
8,0.00012,0.00012,0.00012,0.00013,0.00016,0.00020,0.00025,0.00037,0.00064,0.00074,0.00083,0.00084,0.00086,0.00086,0.00087,0.00088,0.00089,0.00089,0.00093,0.00107,0.00118,0.00135,0.00142,0.00151,0.00157
9,0.00012,0.00012,0.00013,0.00016,0.00019,0.00025,0.00036,0.00064,0.00074,0.00083,0.00084,0.00086,0.00086,0.00087,0.00088,0.00089,0.00089,0.00093,0.00101,0.00112,0.00135,0.00142,0.00151,0.00157,0.00165
10,0.00012,0.00013,0.00015,0.00019,0.00025,0.00035,0.00064,0.00074,0.00081,0.00081,0.00085,0.00085,0.00086,0.00087,0.00088,0.00088,0.00092,0.00101,0.00112,0.00130,0.00140,0.00151,0.00157,0.00165,0.00175
11,0.00012,0.00015,0.00018,0.00024,0.00034,0.00064,0.00074,0.00081,0.00081,0.00085,0.00085,0.00086,0.00086,0.00087,0.00088,0.00092,0.00100,0.00111,0.00130,0.00139,0.00149,0.00157,0.00165,0.00175,0.00186
12,0.00014,0.00017,0.00024,0.00033,0.00064,0.00074,0.00081,0.00081,0.00083,0.00084,0.00085,0.00085,0.00086,0.00088,0.00092,0.00100,0.00111,0.00129,0.00138,0.00149,0.00154,0.00165,0.00175,0.00186,0.00194
